real_distance_cm,sample_number,measured_distance_cm
60.0,28,34.45
60.0,29,34.97
60.0,30,34.97
60.0,31,34.18
60.0,32,34.18
60.0,33,34.18
60.0,34,34.71
60.0,35,34.71
60.0,36,34.71
60.0,37,34.71
60.0,38,35.24
60.0,39,34.44
60.0,40,34.45
60.0,41,34.45
60.0,42,34.44
60.0,43,34.45
60.0,44,34.97
60.0,45,34.97
60.0,46,34.97
60.0,47,34.97
60.0,48,34.18
60.0,49,34.18
60.0,50,34.18
70.0,1,36.01
70.0,2,-1.0
70.0,3,36.24
70.0,4,36.24
70.0,5,36.24
70.0,6,36.7
70.0,7,37.18
70.0,8,36.01
70.0,9,36.01
70.0,10,36.01
70.0,11,36.48
70.0,12,36.94
70.0,13,37.4
70.0,14,36.24
70.0,15,36.24
70.0,16,36.24
70.0,17,36.26
70.0,18,36.26
70.0,19,36.7
70.0,20,36.7
70.0,21,37.16
70.0,22,37.16
70.0,23,37.63
70.0,24,36.48
70.0,25,36.46
70.0,26,36.48
70.0,27,36.94
70.0,28,36.94
70.0,29,37.4
70.0,30,37.4
70.0,31,37.39
70.0,32,37.39
70.0,33,37.4
70.0,34,36.94
70.0,35,36.48
70.0,36,36.46
70.0,37,37.16
70.0,38,36.24
70.0,39,36.24
70.0,40,36.48
70.0,41,36.01
70.0,42,36.7
70.0,43,36.24
70.0,44,36.48
70.0,45,36.01
70.0,46,37.16
70.0,47,36.24
70.0,48,35.76
70.0,49,36.48
70.0,50,36.01
80.0,1,34.69
80.0,2,-1.0
80.0,3,34.18
80.0,4,33.67
80.0,5,33.67
80.0,6,34.45
80.0,7,33.94
80.0,8,33.92
80.0,9,33.41
80.0,10,33.41
80.0,11,34.18
80.0,12,33.65
80.0,13,33.65
80.0,14,33.67
80.0,15,33.13
80.0,16,33.13
80.0,17,33.13
80.0,18,33.13
80.0,19,33.13
80.0,20,33.92
80.0,21,33.92
80.0,22,33.91
80.0,23,33.92
80.0,24,33.92
80.0,25,33.92
80.0,26,33.92
80.0,27,33.92
80.0,28,33.13
80.0,29,33.13
80.0,30,33.13
80.0,31,33.13
80.0,32,33.13
80.0,33,33.13
80.0,34,33.13
80.0,35,33.13
80.0,36,33.13
80.0,37,33.13
80.0,38,33.13
80.0,39,33.13
80.0,40,33.13
80.0,41,33.92
80.0,42,33.92
80.0,43,33.91
80.0,44,33.91
80.0,45,33.92
80.0,46,33.92
80.0,47,33.39
80.0,48,33.41
80.0,49,33.39
80.0,50,33.39
90.0,1,41.11
90.0,2,-1.0
90.0,3,41.11
90.0,4,41.11
90.0,5,41.11
90.0,6,41.11
90.0,7,42.27
90.0,8,41.81
90.0,9,41.81
90.0,10,41.79
90.0,11,41.79
90.0,12,41.81
90.0,13,41.79
90.0,14,42.26
90.0,15,42.27
90.0,16,42.26
90.0,17,42.26
90.0,18,42.27
90.0,19,42.26
90.0,20,42.27
90.0,21,41.79
90.0,22,41.79
90.0,23,41.33
90.0,24,41.35
90.0,25,41.33
90.0,26,40.87
90.0,27,40.87
90.0,28,40.89
90.0,29,40.87
90.0,30,40.87
90.0,31,42.02
90.0,32,41.57
90.0,33,41.11
90.0,34,41.11
90.0,35,40.65
90.0,36,40.63
90.0,37,40.65
90.0,38,40.65
90.0,39,41.81
90.0,40,41.79
90.0,41,41.33
90.0,42,40.87
90.0,43,40.41
90.0,44,40.41
90.0,45,40.41
90.0,46,40.41
90.0,47,40.41
90.0,48,40.41
90.0,49,41.57
90.0,50,41.11
